name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Thunderbolt (Savin Rock),Savin Rock,closed,wood,Traver Engineering,1500.0,28.0,,,,1925-05-05,"September 21, 1938",41.257,-72.95,
Crystal Beach Cyclone,Crystal Beach Park,closed,wood,Traver Engineering,900.0,29.0,97.0,85,4.0,1926-01-01,"September 2, 1946",42.8617,-79.0598,70
Sesquicentennial Cyclone,Sesquicentennial Exposition,closed,wood,Traver Engineering,610.0,18.0,,,,1926-05-31,"November 30, 1926",39.9087,-75.1733,
Tornado (Coney Island),Coney Island,closed,wood,,910.0,22.0,,,,1926-01-01,1977,40.574,-73.979,
Coney Island Cyclone,"Luna Park, Coney Island",operating,other,,800.0,26.0,97.0,1440,3.75,1927-06-26,,40.5742,-73.9778,150
Cyclone (Palisades Amusement Park),Palisades Amusement Park,closed,wood,Traver Engineering,,,,,,1927-09-10,1934,40.8281,-73.9778,
Lightning (Revere Beach),Revere Beach,closed,wood,Traver Engineering,,,,,,1927-07-02,1933,42.42,-70.986,
Racer (Kennywood),Kennywood,operating,wood,Charlie Mach,1400.0,22.1,64.0,1400,,1927-01-01,,40.3869,-79.8619,92
Wildcat (Lake Compounce),Lake Compounce,operating,wood,Philadelphia Toboggan Coasters,837.0,26.0,77.0,,,1927-01-01,,41.6408,-72.9231,75
Zip (roller coaster),Oaks Amusement Park,closed,wood,Traver Engineering,760.0,18.0,,,,1927-01-01,1934,45.473,-122.6606,85
Airplane Coaster,Playland,closed,wood,Frank W. Darling,1100.0,28.0,64.0,,,1928-05-26,November 1957,40.9658,-73.6739,
Montaña Suiza,Monte Igueldo Amusement Park,operating,other,,400.0,9.8,50.0,,,1928-01-01,,43.3207,-2.0107,90
Dragon Coaster (Playland),Playland,operating,wood,,,,,,,1929-01-01,,40.9675,-73.6739,100
Flying Turns (Euclid Beach Park),"Cleveland, Ohio, United States",closed,other,,,,,,,,,41.58,-81.57,
Yankee Cannonball,Canobie Lake Park,operating,wood,Philadelphia Toboggan Coasters,,,56.3269,,,1930-01-01,,42.7953,-71.2492,
Roller Coaster (Great Yarmouth Pleasure Beach),Great Yarmouth Pleasure Beach,operating,wood,,982.4,21.0,72.0,600,,1932-05-01,,52.5928,1.7361,190
Nickelodeon Streak,Blackpool Pleasure Beach,operating,wood,,699.0,19.0,56.0,,3.0,1933-01-01,,53.7908,-3.0544,104
Zipper Dipper,Blackpool Pleasure Beach,operating,other,,,4.6,,,,1934-01-01,,53.7902,-3.0539,60
Big Dipper (Luna Park Sydney),Other,unknown,wood,,799.0,16.0,93.0,,,,,,,180
Grand National (roller coaster),Blackpool Pleasure Beach,closed,wood,,1006.0,19.0,64.0,,3.2,1935-01-01,,53.7919,-3.0531,140
Blue Streak (Conneaut Lake),Conneaut Lake Park,closed,wood,,880.0,23.0,80.0,,,1938-05-23,,41.6349,-80.318,140
Rollo Coaster,Idlewild and Soak Zone,operating,wood,Philadelphia Toboggan Coasters,270.0,8.2,40.0,,,1938-01-01,,40.2602,-79.2814,75
Cyclone (Lakeside Amusement Park),Lakeside Amusement Park,operating,wood,,850.0,24.0,89.0,1100,,1940-05-17,,39.7808,-105.054,120
Flyer Comet (Whalom Park),Whalom Park,closed,wood,National Amusement Devices,800.0,21.0,64.0,,,1940-01-01,2000,42.5762,-71.746,110
Giant Skyrocket,Other,unknown,wood,Lake Contrary Amusement Park,2000.0,34.0,,,,,,,,
Thunderbolt (Six Flags New England),Six Flags New England,operating,wood,Joseph E. Drambour,790.0,21.0,64.0,,,1941-01-01,,42.0389,-72.6133,60
Comet (Hersheypark),Hersheypark,operating,wood,Philadelphia Toboggan Coasters,1020.0,26.0,80.0,950,,1946-01-01,,40.2864,-76.6556,105
Comet (Lincoln Park),Lincoln Park,closed,wood,National Amusement Devices,910.0,20.0,89.0,,,1946-10-01,"September 29, 1987",41.6362,-71.0432,130
Little Dipper (Conneaut Lake Park),Conneaut Lake Park,operating,steel,Allan Herschell Company,,,,,,1950-01-01,,41.6343,-80.3165,
Little Dipper (Six Flags Great America),Other,unknown,wood,Philadelphia Toboggan Coasters,210.0,8.5,40.0,,,,"September 27, 2009",,,50
Big Dipper (Battersea Park),Battersea Park,closed,wood,,,,,,,1951-01-01,30 May 1972,51.4794,-0.1569,
Comet (Waldameer),Waldameer Park,operating,wood,Philadelphia Toboggan Coasters,400.0,11.0,40.0,,,1951-01-01,,42.1077,-80.1568,84
Vuoristorata,Linnanmäki,operating,wood,"Linnanmäki, led by Svend Jarlström",,,59.54558,1320,,1951-07-13,,60.1886,24.9417,135
