name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Road Runner Express (Six Flags New Orleans),Other,unknown,steel,Vekoma,207.0,8.5,34.9,780,,,"August 21, 2005",,,44
Road Runner Rollercoaster,Warner Bros. Movie World,unknown,steel,Vekoma,,,45.86619,1000,,,,,,66
Roller Coaster (Papéa Parc),Other,unknown,other,Zierer,360.0,8.0,36.0,1250,,,"September 16, 2007",41.3535,-81.3756,
Roller Coaster (Suoi Tien Park),Suoi Tien Amusement Park,operating,steel,Vekoma,,,69.20162,1600,2.0,2000-01-01,,10.8607,106.8044,150
Son of Beast,Kings Island,closed,wood,Roller Coaster Corporation of America,2143.0,66.0,126.2,1600,4.5,2000-04-28,"June 16, 2009",39.3461,-84.2647,140
Speed – The Ride,Other,unknown,steel,Premier Rides,416.0,68.0,110.0,1600,3.5,2000-04-28,"May 1, 2011",,,45
Speed of Sound (roller coaster),Walibi Holland,operating,steel,Vekoma,285.0,35.5,76.0,760,5.2,2000-04-22,,52.4406,5.7681,108
Steel Dragon 2000,Nagashima Spa Land,operating,steel,D. H. Morgan Manufacturing,,,152.8873,,,2000-08-01,,35.0312,136.7301,240
Superman The Ride,Six Flags New England,operating,steel,Intamin,1600.0,63.0,124.0,1300,3.6,2000-05-05,,42.0386,-72.6114,155
Superman: Krypton Coaster,Six Flags Fiesta Texas,operating,steel,Bolliger & Mabillard,1227.0,51.0,110.0,1600,3.8,2000-03-11,,29.5952,-98.61,155
Svalbard Ekspressen,Kongeparken,operating,steel,Vekoma,207.0,8.5,34.9,780,,2000-01-01,,58.7801,5.8405,44
Untamed (Walibi Holland),Walibi Holland,operating,steel,Rocky Mountain Construction,,,,900,,2019-07-01,,52.4428,5.7608,106
Villain (roller coaster),Geauga Lake,closed,other,Custom Coasters International,1210.0,37.0,95.0,,,2000-05-05,"September 16, 2007",41.3528,-81.3725,150
Woodstock Express (Dorney Park),Dorney Park & Wildwater Kingdom,operating,steel,Zamperla,80.0,4.0,21.0,,,2000-05-05,,40.5793,-75.5326,
Xpress: Platform 13,Walibi Holland,operating,steel,Vekoma,996.0,26.0,90.0,1200,,2000-04-01,,52.4392,5.7639,100
Zydeco Scream,Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,,,,108
Batwing (roller coaster),Six Flags America,operating,steel,Vekoma,1020.0,35.0,80.0,850,4.3,2001-06-16,,38.9103,-76.7786,122
California Screamin',Disney California Adventure,operating,steel,Intamin,1851.0,37.0,89.0,,,2001-02-08,,33.8046,-117.9218,156
Cheetah (Wild Adventures),Wild Adventures,closed,wood,Custom Coasters International,820.0,28.0,84.0,1200,,2001-06-16,"March 15, 2020",30.7196,-83.3257,64
Colossos - Kampf der Giganten,Heide Park,operating,wood,Intamin,,,109.43512,1030,4.5,2001-04-13,,53.0231,9.8833,145
Cornball Express,Indiana Beach,operating,wood,Custom Coasters International,640.0,17.0,72.0,,4.7,2001-05-18,,40.7898,-86.771,51
Déjà Vu (roller coaster),Other,in_production,other,Vekoma,,,105.57270399999999,870,,,,,,
Do-Dodonpa,Fuji-Q Highland,closed,steel,S&S – Sansei Technologies,,,177.0274,80,,2001-12-21,,35.4877,138.7823,
Expedition GeForce,"Holiday Park, Germany",operating,steel,Intamin,1220.0,53.0,120.1,1300,4.5,2001-06-18,,49.32,8.295,75
Flying Ace Aerial Chase,Kings Island,operating,steel,Vekoma,342.0,14.8,42.0,650,2.2,2001-01-01,,,,90
Giant Inverted Boomerang,Other,in_production,other,Vekoma,,,105.57270399999999,870,,,,,,
Goofy's Sky School,Disney California Adventure,operating,steel,Mack Rides,370.0,17.0,43.0,,,2001-02-08,"October 12, 2010(as Mulholland Madness)",33.8063,-117.923,105
Hypersonic XLC,Kings Dominion,closed,steel,S&S – Sansei Technologies,480.0,50.0,130.0,1380,4.0,2001-03-24,"October 28, 2007",37.8372,-77.446,16
Incredicoaster,Disney California Adventure,operating,steel,Intamin,1851.0,37.0,89.0,,,2001-02-08,,33.8046,-117.9218,156
Insane Speed,Janfusun Fancyworld,operating,steel,Bolliger & Mabillard,816.0,,85.9,1200,4.0,2001-01-01,,23.6187,120.5758,
Lego Technic Test Track,Other,unknown,steel,Mack Rides,,,56.3269,,,,,,,95
MP Xpress,Movie Park Germany,operating,steel,Vekoma,,,80.467,1040,,2001-04-06,,51.6246,6.9733,96
Mulholland Madness,Disney California Adventure,operating,steel,Mack Rides,370.0,17.0,43.0,,,2001-02-08,"October 12, 2010(as Mulholland Madness)",33.8063,-117.923,105
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,operating,steel,Bolliger & Mabillard,1644.0,70.0,130.0,1800,4.3,2001-04-07,,40.1356,-74.4444,140
Phantom's Revenge,Kennywood,operating,steel,D. H. Morgan Manufacturing,980.0,49.0,137.0,1400,3.5,1991-05-10,,40.389,-79.866,117
Silver Streak (Canada's Wonderland),Canada's Wonderland,operating,steel,Vekoma,342.0,14.8,42.0,650,,2001-05-06,,43.8424,-79.5462,76
Talon (roller coaster),Dorney Park & Wildwater Kingdom,operating,steel,Bolliger & Mabillard,950.0,41.0,93.0,1200,4.5,2001-05-05,,40.579,-75.53,120
The Flash: Vertical Velocity,Six Flags Discovery Kingdom,sbno,steel,Intamin,190.0,46.0,105.0,900,,2001-06-08,,38.1382,-122.2323,70
Thundercoaster (TusenFryd),TusenFryd,operating,wood,Vekoma,,,93.34172,,2.4,2001-05-01,,59.7472,10.7773,120
Titan (Six Flags Over Texas),Six Flags Over Texas,operating,steel,Giovanola,1619.0,75.0,137.0,1600,,2001-04-27,,32.7556,-97.0742,210
Vertical Velocity (roller coaster),Six Flags Great America,temporary_closed,steel,Intamin,190.0,57.0,110.0,1100,,2001-05-18,,42.3679,-87.9324,
Vonkaputous,Linnanmäki,closed,steel,Premier Rides,330.0,24.0,60.0,,2.5,2001-05-12,22 October 2017,60.1883,24.9381,60
Wildfire (Silver Dollar City),Silver Dollar City,operating,steel,Bolliger & Mabillard,937.0,37.0,106.0,1300,3.6,2001-04-04,,36.6686,-93.3425,136
Wile E. Coyote's Grand Canyon Blaster,"Arlington, Texas, U.S.",operating,other,,,,,,,,,32.7557,-97.0702,
X-Flight (Geauga Lake),Other,unknown,steel,Vekoma,1020.0,35.0,80.0,520,4.3,,,,,130
Apple Zapple (Kings Dominion),Kings Dominion,operating,steel,Mack Rides,400.0,16.0,56.0,960,,2002-03-22,,,,
Avalancha (roller coaster),Xetulul Theme Park,operating,steel,Intamin,,,88.0,,,2002-01-01,,,,
Batman: The Dark Knight (roller coaster),Six Flags New England,operating,steel,Bolliger & Mabillard,870.0,35.9,89.0,,,2002-04-20,,42.0353,-72.6131,140
Batman: Arkham Asylum (roller coaster),Parque Warner Madrid,operating,steel,Bolliger & Mabillard,,32.0,80.0,,4.9,2002-04-06,,40.2282,-3.5924,75
Colossus (Thorpe Park),Thorpe Park,operating,steel,Intamin,850.0,30.0,72.0,,4.2,2002-03-22,,51.4032,-0.513,105
Escape from Madagascar,Dreamworld,operating,steel,Vekoma,,,41.84284,650,2.2,2002-12-26,,-27.8639,153.3169,90
Flying Coaster (Elitch Gardens),Other,unknown,steel,Zamperla,391.0,15.0,41.4,500,3.3,,2007,,,48
Galactica (roller coaster),Alton Towers,operating,steel,Bolliger & Mabillard,,,75.63898,1500,3.5,2002-03-16,,52.9859,-1.8821,100
Goliath (Walibi Holland),Walibi Holland,operating,steel,Intamin,,,106.21644,,,2002-03-29,,52.4386,5.7614,92
Jubilee Odyssey,Fantasy Island (UK amusement park),operating,steel,Vekoma,891.0,51.0,101.0,350,4.8,2002-05-23,,53.1922,0.3461,172
Lost Coaster of Superstition Mountain,Indiana Beach,operating,wood,Custom Coasters International,430.0,11.0,32.0,,,2002-06-06,,40.7886,-86.77,
New Mexico Rattler,Cliff's Amusement Park,operating,wood,,840.0,24.0,76.0,,,2002-09-28,,35.143,-106.5884,75
Primeval Whirl,Disney's Animal Kingdom,closed,steel,Reverchon Industries,420.0,13.0,46.8,900,2.5,2002-03-31,"March 15, 2020",28.3564,-81.5877,90
Ricochet (Carowinds),Carowinds,operating,steel,Mack Rides,370.0,14.0,45.0,,,2002-03-23,,35.1042,-80.9428,110
Roller Soaker,Hersheypark,closed,steel,Setpoint USA,400.0,21.0,33.0,,,2002-05-04,"September 3, 2012",40.2914,-76.6531,
Rugrats Runaway Reptar (Dreamworld),Dreamworld,operating,steel,Vekoma,,,41.84284,650,2.2,2002-12-26,,-27.8639,153.3169,90
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,operating,steel,Mack Rides,,,44.578718,1000,2.4,2002-06-17,,-27.9078,153.3111,253
Silver Star (roller coaster),Europa-Park,operating,steel,Bolliger & Mabillard,,,127.13786,1750,4.0,2002-03-23,,48.268,7.72,
Star Jet,Casino Pier,closed,steel,E&F Miler Industries,,16.0,,,,2002-01-01,"October 29, 2012",39.9428,-74.0683,
Superman: La Atracción de Acero,Parque Warner Madrid,operating,steel,Bolliger & Mabillard,1100.0,50.0,99.9,,,2002-04-06,,40.2277,-3.5906,146
Superman: Ultimate Flight,Other,unknown,steel,Bolliger & Mabillard,,32.0,82.0,1100,3.0,,,,,
Toboggan (Conneaut Lake Park),Conneaut Lake Park,closed,steel,Chance Rides,140.0,14.0,,,,2002-01-01,2006,41.6341,-80.3137,70
Tom & Jerry (roller coaster),Parque Warner Madrid,operating,steel,Zierer,360.0,7.9,35.0,1250,,2002-04-06,,40.2298,-3.5961,65
Le Vampire,La Ronde,operating,steel,Bolliger & Mabillard,823.0,32.0,80.0,1400,4.0,2002-05-18,,45.5225,-73.5381,73
Wicked Twister,Cedar Point,closed,steel,Intamin,206.0,66.0,116.0,1000,,2002-05-05,"September 6, 2021",41.482,-82.6799,
Winja's Fear & Force,Other,operating,steel,Maurer AG,410.0,17.4,59.9,1440,,2002-03-30,,50.8002,6.8777,
X2 (roller coaster),Six Flags Magic Mountain,operating,steel,Arrow Dynamics,1100.0,53.0,122.0,1600,4.0,2002-01-12,,34.421,-118.5929,
Xcelerator,Knott's Berry Farm,operating,steel,Intamin,671.0,62.0,132.0,1330,,2002-06-22,,33.8458,-118.0008,62
Atlantis Adventure,Lotte World,operating,steel,Intamin,670.0,22.0,75.0,,,2003-01-01,,,,
Balder (roller coaster),Liseberg,operating,wood,Intamin,,,90.12304,1200,,2003-04-12,,57.6933,11.9961,128
Canyon Blaster (Great Escape),Other,unknown,steel,Arrow Development,610.0,17.0,72.0,,,,1997,,,120
Dragon Express,Adventure World,operating,steel,Zamperla,,,,,,2003-09-27,,-32.097,115.8181,
Greased Lightnin' (Six Flags Discovery Kingdom),Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Greezed Lightnin' (Kentucky Kingdom),Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Half Pipe (roller coaster),Other,unknown,steel,Intamin,70.0,30.0,70.0,,4.5,,2019,,,120
Jack Rabbit (Celebration City),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",operating,other,,,,,,,,,28.3303,-81.5147,
The Jester (roller coaster),Other,unknown,steel,Vekoma,590.0,24.0,64.0,1200,3.5,,,,,84
Kiddy Hawk,Carowinds,operating,steel,Vekoma,342.0,15.0,42.0,650,2.2,2003-03-22,,,,90
Nemesis Inferno,Thorpe Park,operating,steel,Bolliger & Mabillard,,,80.467,1150,5.0,2003-04-05,,51.4035,-0.5164,103
Ozark Wildcat,Celebration City,closed,wood,Great Coasters International,790.0,24.0,72.0,,,2003-05-01,"October 25, 2008",36.6509,-93.2938,90
Scream (roller coaster),Six Flags Magic Mountain,operating,steel,Bolliger & Mabillard,1215.0,46.0,101.0,1440,4.0,2003-04-12,,34.4286,-118.5983,180
Spider (roller coaster),Lagoon,operating,steel,Maurer AG,424.0,15.49,60.0,930,,2003-04-01,,40.9844,-111.895,70
Steel Venom (Valleyfair),Valleyfair,operating,steel,Intamin,190.0,56.0,109.0,950,,2003-05-17,,44.7978,-93.4517,
Swamp Thing (Wild Adventures),Wild Adventures,operating,steel,Vekoma,342.0,15.0,42.0,,2.2,2003-01-01,,30.7196,-83.3217,90
Thunder Dolphin,Tokyo Dome City Attractions,operating,steel,Intamin,,,130.35654,1660,4.4,2003-05-01,,35.7063,139.7533,90
Top Thrill Dragster,Cedar Point,closed,steel,Intamin,850.0,130.0,190.0,1000,,2003-05-04,,41.484,-82.6862,30
Twist n' Shout,Loudoun Castle,closed,steel,Anton Schwarzkopf,554.0,18.5,66.0,1500,,2003-04-01,2010,55.6104,-4.3689,108
Vild-Svinet,BonBon-Land,operating,steel,Gerstlauer,,,72.4203,,,2003-05-16,,55.2611,11.8634,60
Vilda Musen,Gröna Lund,operating,steel,Gerstlauer,430.0,20.76,55.0,800,,2003-04-18,,59.3231,18.0956,94
Booster Bike,Toverland,operating,steel,Vekoma,,,75.63898,,2.5,2004-07-27,,51.3975,5.9842,68
Dæmonen,Tivoli Gardens,operating,steel,Bolliger & Mabillard,,,77.24832,1200,4.0,2004-04-16,,55.6728,12.5703,106
Dragon's Fury (roller coaster),Chessington World of Adventures,operating,steel,Maurer AG,520.0,15.5,,550,,2004-03-27,,51.348,-0.319,
Fairly Odd Coaster,Nickelodeon Universe,operating,steel,Gerstlauer,410.0,16.0,50.0,480,3.2,2004-03-15,,44.8542,-93.2422,90
Hell Cat,Clementon Amusement Park,operating,wood,S&S – Sansei Technologies,793.0,34.0,90.0,2560,,2004-09-18,"September 8, 2019",39.802,-74.9847,90
The Joker Funhouse Coaster,Six Flags Over Georgia,operating,steel,Chance Manufacturing,270.0,,48.0,1000,,2004-09-04,,33.7678,-84.551,88
Lightning (roller coaster),Kuwait Entertainment City,closed,steel,Bolliger & Mabillard,781.0,34.0,85.0,,,2004-01-01,2016,29.3456,47.8182,
Nighthawk (roller coaster),Other,unknown,steel,Vekoma,843.0,35.0,82.0,1000,4.3,,"September 2, 2003",,,110
Ragin' Cajun (roller coaster),Other,unknown,steel,Zamperla,420.0,13.0,46.8,900,2.5,,"October 27, 2013",,,90
Revenge of the Mummy,Other,unknown,steel,Premier Rides,,13.5,64.0,,,,"January 7, 2022",,,
Sand Serpent,Other,unknown,steel,Mack Rides,370.0,14.0,45.0,,,,2003,,,110
Shock Wave (Brean Leisure Park),Brean Leisure Park,operating,steel,Pinfari,,,,960,,2004-01-01,,51.2861,-3.0089,
Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,operating,steel,Bolliger & Mabillard,952.0,45.0,89.0,1300,3.0,2004-12-07,,33.8444,-117.9997,150
Spinball Whizzer,Alton Towers,operating,steel,Maurer AG,,,59.54558,950,,2004-03-27,,52.9889,-1.8946,75
Spinning Dragons,Worlds of Fun,operating,steel,Gerstlauer,410.0,16.0,50.0,720,,2004-04-17,,39.1754,-94.4879,90
Steel Dragon (Waldameer),Waldameer Park,operating,steel,Maurer AG,424.0,16.0,60.0,,,2004-07-02,,42.1081,-80.1589,84
Storm Runner,Hersheypark,operating,steel,Intamin,790.0,46.0,121.0,1200,5.0,2004-05-08,,40.2897,-76.6536,50
Super Grover's Box Car Derby,Other,unknown,steel,Zierer,240.0,,45.0,,,,,,,
Superman El Último Escape,Six Flags México,operating,steel,D. H. Morgan Manufacturing,1700.0,67.0,120.1,1600,,2004-11-19,,,,184
The Gauntlet (roller coaster),Magic Springs and Crystal Falls,operating,steel,Vekoma,688.8,33.2,80.0,1040,,2004-04-10,,38.1941,-85.747,96
Thunderhead (roller coaster),Dollywood,operating,wood,Great Coasters International,980.0,30.6,86.4,,,2004-04-03,,35.7967,-83.5319,150
Time Warp (roller coaster),Canada's Wonderland,operating,steel,Zamperla,,,41.360037999999996,,,2004-05-02,,43.8408,-79.5396,64
Tulireki,Linnanmäki,operating,steel,Mack Rides,336.0,16.5,58.0,,3.5,2004-04-29,,60.1881,24.9381,
Typhoon (Bobbejaanland),Bobbejaanland,operating,steel,Gerstlauer,,,80.467,1400,5.0,2004-04-10,,51.1997,4.9055,90
WhirlWind (Seabreeze),Seabreeze Amusement Park,operating,steel,Maurer AG,424.0,15.5,60.0,930,,2004-01-01,,43.234,-77.5429,70
Atlantica SuperSplash,Europa Park,unknown,other,Mack Rides,,,80.467,1400,4.0,2005-03-19,,48.2622,7.7211,200
Bat (Lagoon),Lagoon Amusement Park,operating,steel,Vekoma,,,,650,2.2,2005-04-16,,40.9862,-111.8926,90
Cobra (PowerPark),PowerPark,operating,steel,Vekoma,285.0,35.5,76.0,760,5.2,2005-01-01,,63.2298,22.8587,108
Fairly Odd Coaster (Carowinds),Carowinds,operating,wood,Philadelphia Toboggan Coasters,413.0,12.0,58.0,1250,,1975-01-01,,35.101,-80.9394,60
Frankie's Mine Train,Other,unknown,steel,Zamperla,80.0,4.0,,,,,,,,
G Force (roller coaster),Drayton Manor Theme Park,closed,other,Maurer AG,385.0,25.0,70.0,1100,4.3,2005-07-26,October 2018,52.6128,-1.7147,45
Hades 360,Mt. Olympus Water & Theme Park,operating,wood,The Gravity Group,1447.0,41.0,97.0,,3.5,2013-05-14,,43.617,-89.7893,140
Hydra the Revenge,Dorney Park & Wildwater Kingdom,operating,steel,Bolliger & Mabillard,975.0,29.0,85.0,1245,,2005-05-07,,40.581,-75.5325,155
Italian Job: Stunt Track (Canada's Wonderland),Other,unknown,steel,Premier Rides,600.0,13.8,64.0,1000,,,,,,64
Italian Job: Stunt Track (Kings Island),Other,unknown,steel,Premier Rides,600.0,13.8,64.0,1000,,,,,,64
Kanonen,Liseberg,closed,steel,Intamin,,,75.63898,930,,2005-04-23,"December 30, 2016",57.6933,11.9954,73
Kingda Ka,Six Flags Great Adventure,operating,steel,Intamin,950.0,139.0,206.0,1400,,2005-05-21,,40.1392,-74.4365,28
Pandemonium (roller coaster),Other,unknown,steel,Gerstlauer,412.0,,50.0,,,,,,,
Raging Spirits,Tokyo DisneySea,operating,steel,Intamin,,,59.54558,,,2005-07-21,,35.6277,139.8808,98
Rita (roller coaster),Alton Towers,operating,steel,Intamin,,,98.330674,1150,4.7,2005-04-01,,52.985,-1.8905,25
Sequoia Adventure,Gardaland,closed,steel,S&S - Sansei Technologies,,30.0,,,,2005-04-30,,45.457,10.7076,60
SheiKra,Busch Gardens Tampa Bay,operating,steel,Bolliger & Mabillard,972.0,61.0,110.0,,4.0,2005-05-21,,28.0367,-82.4244,140
Space Mountain: Mission 2,Disneyland Park (Paris),operating,steel,Vekoma,1000.0,32.0,71.0,2400,,2017-05-07,,48.8741,2.7793,135
Superman Escape,Warner Bros. Movie World,operating,steel,Intamin,,,99.77908,820,4.2,2005-12-26,,-27.908,153.3125,100
Wild Mouse (Beech Bend Park),Beech Bend Park,operating,steel,Zamperla,420.0,13.0,46.8,900,2.5,2005-01-01,,37.0225,-86.4017,90
10 Inversion Roller Coaster,Chimelong Paradise,operating,steel,Intamin,850.0,30.0,72.0,1300,,2006-01-01,,23.0044,113.3269,92
Black Mamba (roller coaster),Phantasialand,operating,steel,Bolliger & Mabillard,768.0,26.0,80.0,1500,4.0,2006-05-24,,50.7986,6.8803,
Crystal Wing,Happy Valley Beijing,operating,steel,Bolliger & Mabillard,853.0,32.0,82.0,,,2006-07-09,,39.866,116.4885,
Eejanaika (roller coaster),Fuji-Q Highland,operating,steel,S&S Arrow,1153.01,76.0,126.0,1000,,2006-07-19,,35.4884,138.7808,
Expedition Everest,Disney's Animal Kingdom,operating,other,Vekoma,1184.0,61.0,80.0,2050,3.0,2006-04-07,,,,170
Fairly Odd Coaster (Kings Island),Kings Island,operating,wood,Philadelphia Toboggan Coasters,410.0,11.8,56.0,1200,,1972-01-01,,39.3432,-84.2693,90
Golden Wings in Snowfield,Happy Valley Beijing,operating,steel,Vekoma,748.0,35.9,86.4,,,2006-07-09,,39.865,116.4846,92
Goliath (Six Flags Over Georgia),Six Flags Over Georgia,operating,steel,Bolliger & Mabillard,1370.0,61.0,113.0,1220,,2006-04-01,,33.7692,-84.55,210
Goliath (La Ronde),La Ronde,operating,steel,Bolliger & Mabillard,1231.0,53.3,110.1,,,2006-05-13,,45.5278,-73.5363,180
Grand Exposition Coaster,Silver Dollar City,operating,steel,Zamperla,85.0,3.0,,,,2006-04-01,,36.6704,-93.3366,
Italian Job: Turbo Coaster,Other,unknown,steel,Premier Rides,600.0,13.8,64.0,1000,,,,,,64
Jungle Racing,Happy Valley Beijing,operating,steel,Vekoma,785.0,14.0,48.4,1600,2.2,2006-07-09,,39.868,116.4874,140
Kentucky Rumbler,Beech Bend Park,operating,wood,Great Coasters International,862.0,29.0,76.0,480,,2006-05-06,,37.0225,-86.4017,
Kumali,Flamingo Land,operating,steel,Vekoma,671.4,35.89,88.4,1125,4.7,2006-01-01,,54.2117,-0.8066,92
Patriot (Worlds of Fun),Worlds of Fun,operating,steel,Bolliger & Mabillard,939.0,45.0,97.0,1160,,2006-04-08,,39.1753,-94.4889,138
Speed Monster,TusenFryd,operating,steel,Intamin,690.0,40.0,90.0,700,4.0,2006-04-23,,59.7482,10.777,69
Speed: No Limits,Oakwood Theme Park,operating,steel,Gerstlauer,600.0,35.0,95.0,800,4.5,2006-04-13,,51.779,-4.805,90
Stealth (roller coaster),Thorpe Park,operating,steel,Intamin,,,129.0,,,2006-03-15,,51.405,-0.5153,
Tatsu,Six Flags Magic Mountain,operating,steel,Bolliger & Mabillard,1098.0,52.0,100.0,1600,,2006-05-13,,34.4219,-118.5975,120
Thunderbird (PowerPark),PowerPark,operating,wood,Great Coasters International,827.0,25.0,77.0,,,2006-04-29,,63.2306,22.8579,93
El Toro (Six Flags Great Adventure),Six Flags Great Adventure,closed,wood,Intamin,1300.0,55.0,110.0,1400,,2006-06-12,,40.1389,-74.4346,102
The Voyage (roller coaster),Holiday World & Splashin' Safari,operating,wood,The Gravity Group,1964.0,48.0,108.0,1200,,2006-05-06,,38.1213,-86.9115,165
X-Coaster,Magic Springs and Crystal Falls,operating,steel,Maurer AG,150.0,46.0,105.0,500,,2006-05-27,,34.5179,-93.0151,
Boardwalk Bullet,Kemah Boardwalk,operating,wood,Martin & Vleminckx,986.0,29.0,82.0,800,3.5,2007-08-31,,29.5463,-95.0173,105
Crush's Coaster,Walt Disney Studios Park,operating,steel,Maurer AG,,,60.672118000000005,,,2007-06-09,,48.8682,2.7777,115
De Vliegende Hollander,Efteling,operating,steel,Kumbak,,,69.20162,1900,2.0,2007-04-01,,51.648,5.0474,343
Firehawk (roller coaster),Other,unknown,steel,Vekoma,1020.0,35.0,80.0,520,4.3,,,,,130
Formule X,Drievliet Family Park,operating,steel,Maurer AG,350.0,15.0,72.0,650,,2007-04-06,,52.0544,4.3496,27
Furius Baco,PortAventura Park,operating,steel,Intamin,850.01,14.0,135.0,,4.7,2007-06-05,,41.0847,1.1564,55
Galaxy Orbiter,Galaxyland,operating,steel,Gerstlauer,,,40.2335,500,3.26,2007-07-17,,53.5236,-113.6211,77
Griffon (roller coaster),Busch Gardens Williamsburg,operating,steel,Bolliger & Mabillard,947.0,62.0,114.0,1400,4.0,2007-05-18,,37.2344,-76.6475,180
Hollywood Dream – The Ride,Universal Studios Japan,operating,steel,Bolliger & Mabillard,,,90.12304,,,2007-03-09,,34.6666,135.4338,151
Infusion (roller coaster),Other,unknown,steel,Vekoma,690.0,33.0,80.0,832,4.5,,2006,,,96
Jimmy Neutron's Atomic Flyer,Movie Park Germany,operating,steel,Vekoma,,,,,,2007-03-01,,51.62,6.9725,
Kirnu,Linnanmäki,operating,steel,Intamin,141.77,25.4,60.0,640,2.6,2007-04-27,,60.1883,24.94,60
Kvasten,Gröna Lund,operating,steel,Vekoma,,,54.71756,758,2.5,2007-04-28,,59.3226,18.0964,63
Maverick (roller coaster),Cedar Point,operating,steel,Intamin,1360.0,32.0,110.0,1200,,2007-05-26,,41.4852,-82.6925,150
Mick Doohan's Motocoaster,Dreamworld,operating,steel,Intamin,,,72.4203,746,,2007-09-30,,-27.8628,153.3169,55
Mystery Mine,Dollywood,operating,steel,Gerstlauer,550.0,26.0,70.0,1000,,2007-04-13,,35.7956,-83.5301,150
Phaethon (roller coaster),Gyeongju World,operating,steel,Bolliger & Mabillard,1000.0,45.01,90.0,,,2007-05-05,,35.8367,129.28,140
Rage (roller coaster),Adventure Island,operating,steel,Gerstlauer,361.0,22.0,70.0,,4.5,2007-02-10,,51.5325,0.7167,50
Renegade (roller coaster),Valleyfair,operating,wood,Great Coasters International,949.0,29.7,82.6,850,3.9,2007-05-12,,44.8008,-93.4611,120
Sierra Sidewinder,Knott's Berry Farm,operating,steel,Mack Rides,430.0,19.0,60.0,,,2007-05-26,,33.845,-117.9986,
Star Flyer (roller coaster),"Barangay 1, Pasay, Philippines",closed,other,,,,,,,,,14.556,120.9859,
Surfrider,Wet'n'Wild Gold Coast,operating,steel,Intamin,,,,460,,2007-09-01,,-27.9143,153.3164,60
Troy (roller coaster),Toverland,operating,wood,Great Coasters International,,,86.90436,850,2.4,2007-06-29,,,,
Wicked (roller coaster),Lagoon Amusement Park,operating,steel,Zierer,625.0,34.0,89.0,900,4.8,2007-06-01,,40.9839,-111.8956,106
American Thunder (roller coaster),Six Flags St. Louis,operating,wood,Great Coasters International,827.0,25.0,77.0,850,,2008-06-20,,38.5125,-90.6772,
Backlot Stunt Coaster,Other,unknown,steel,Premier Rides,600.0,13.8,64.0,1000,,,,,,64
Behemoth (roller coaster),Canada's Wonderland,operating,steel,Bolliger & Mabillard,,,123.91918,1545,4.5,2008-05-04,,43.839,-79.5406,190
Cobra (Tivoli Friheden),Tivoli Friheden,operating,steel,Sartori Rides,400.0,25.0,70.0,720,4.5,2008-06-28,,56.1358,10.1979,
The Dark Knight Coaster,Other,unknown,steel,Mack Rides,370.0,14.0,48.0,,,,,,,120
Dive Coaster (Chimelong Paradise),Chimelong Paradise,operating,steel,Bolliger & Mabillard,,60.0,110.1,,4.4,2008-02-07,,22.9996,113.3233,
Dragon's Run,Other,unknown,steel,Bolliger & Mabillard,1139.0,47.0,105.0,,,,"September 27, 2009",,,
Fahrenheit (roller coaster),Hersheypark,operating,steel,Intamin,820.0,37.0,93.0,850,,2008-05-24,,40.291,-76.6552,85
Flight Deck (Kings Island),Kings Island,operating,steel,Arrow Dynamics,717.0,24.0,82.0,1200,2.9,1993-04-09,,39.3476,-84.2652,112
Flight of the Hippogriff,Other,unknown,steel,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",335.0,13.0,45.9,,,,,,,66
Goliath (Six Flags Fiesta Texas),Other,unknown,steel,Bolliger & Mabillard,821.0,32.0,80.0,1400,4.0,,,,,120
Jet Rescue,Sea World (Australia),operating,steel,Intamin,,,69.20162,800,2.5,2008-12-26,,-27.9568,153.4261,32
Kawasemi,Tobu Zoo,operating,steel,Intamin,755.0,31.0,85.0,,,2008-01-01,,,,
Mammut (roller coaster),Gardaland,operating,steel,Vekoma,1030.0,13.75,50.1,,,2008-03-19,,45.4578,10.7125,165
Moto Coaster (Six Flags Darien Lake),Six Flags Darien Lake,operating,steel,Zamperla,365.0,13.0,61.0,250,,2008-05-01,,42.9304,-78.3834,
Muntanya Russa (Tibidabo Amusement Park),Tibidabo Amusement Park,operating,steel,Vekoma,740.0,25.0,80.0,1010,3.5,2008-12-23,,41.4228,2.1198,50
Pony Express (roller coaster),Knott's Berry Farm,operating,steel,Zamperla,400.0,13.0,61.0,900,,2008-05-22,,33.8429,-118.0013,36
Ravine Flyer II,Waldameer Park,operating,wood,The Gravity Group,880.0,26.0,97.0,,3.5,2008-05-17,,42.1093,-80.157,90
Roller Coaster (Dai Nam Van Hien),Đại Nam Văn Hiến,operating,steel,Hebei Zhongye Metallurgical Equipment,,,75.63898,1440,4.0,2008-09-11,,11.0433,106.6325,120
